time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.78803050216e-08,5.59134831247e-08,0.00423101467793,6.27360199736e-05,6.28311831353,0.0,5.10943575784e-06,5.33852211657e-06,0.141026084504,0.00305899332972,-0.00344900330489,0.0,450.117570627,449.838441885,449.355294465,449.603134111
0.12000000000000001,2.61380584408e-06,2.59269909707e-06,0.0169094045388,0.000353076456381,6.28296202387,0.0,9.99808972617e-05,0.000105047658956,0.281561989296,0.00818061571785,-0.000967669656938,0.0,449.618214592,449.819218034,449.29700315,449.711889692
0.18,1.3771152032e-05,1.85539325069e-05,0.0380080949183,0.000776676811367,6.28284653954,0.0,0.000281209872057,0.000476440830315,0.421685718025,0.00471885127936,-0.00391123002656,0.0,449.793651334,449.555282866,449.574165354,449.293525435
0.23999999999999996,3.90314476974e-05,6.51965469589e-05,0.0675018749507,0.000971245972208,6.28256331098,0.0,0.000588659321762,0.00110422408955,0.561381428103,0.000113839290438,-0.00639026533644,0.0,449.561695654,449.360898712,449.779560776,449.406452319
0.3,8.94760104012e-05,0.000152725103414,0.105353828693,0.00103278396468,6.28218093458,0.0,0.00113403682682,0.00181706869536,0.700275001242,0.00278970225782,-0.00633831048823,0.0,449.458977892,449.463292719,449.269643589,449.486496069
0.36000000000000004,0.000180950877731,0.000284890622396,0.15153763829,0.00107923883098,6.28182992461,0.0,0.00195440777007,0.00260023834649,0.839093201375,-0.00359692103998,-0.00489128738116,0.0,449.516290607,449.633618528,449.824850601,449.307423948
0.4200000000000001,0.000328900576094,0.000463488572056,0.206036166014,0.000720674669452,6.28160564757,0.0,0.00300486974022,0.00332251249995,0.977415956251,-0.0112186504197,-0.00152554525486,0.0,449.652371136,449.924986572,449.772907234,449.155383612
0.48000000000000015,0.000543945843582,0.000675813426674,0.26879974494,4.02531634567e-05,6.28153277322,0.0,0.00417193689282,0.00368215470933,1.11457938058,-0.0115848903315,-0.000599719087083,0.0,449.472622771,449.547666174,449.526727656,449.497177982
0.5400000000000001,0.000830327857332,0.00089478822684,0.339796258946,6.28249319944,6.28157506078,0.0,0.00537342947988,0.0035403145174,1.25183061369,-0.0134781136056,0.0031940915542,0.0,449.718847169,450.025988234,449.829959694,449.676762971
0.6000000000000002,0.00118684992469,0.00108885271606,0.41900321327,6.2816295411,6.28191218118,0.0,0.0064815797744,0.00283891006405,1.38824527966,-0.0162926366168,0.01007363888,0.0,449.777946001,450.334614828,449.784184657,449.556321143
0.6600000000000003,0.00160084047806,0.00122146218379,0.506359117936,6.28064694423,6.2826462457,0.0,0.00724582056343,0.00147663264008,1.52344758215,-0.0165450923151,0.0162391117603,0.0,449.679921118,450.178915919,449.739637789,449.719283567
0.7200000000000003,0.00204332306952,0.00125105719723,0.601782272987,6.27965193474,0.000481352891098,0.0,0.0073967842639,-0.000595951966305,1.6571396805,-0.0166603968088,0.0184998173104,0.0,449.658268027,449.841270684,449.722307016,449.713057735
0.7800000000000004,0.00247222033593,0.00113488029726,0.705171314842,6.27860957367,0.00165811816491,0.0,0.00677782887769,-0.00338477471799,1.78896418221,-0.0188366373069,0.0217504004282,0.0,449.365914613,449.629276628,449.702329217,449.526106929
0.8400000000000004,0.00283782520364,0.000828396118977,0.816441629706,6.27732207392,0.00301605128393,0.0,0.00526745609189,-0.00695852699859,1.91983478574,-0.0272977346762,0.0243397935308,0.0,449.416934516,449.626776482,450.195028699,449.509931837
0.9000000000000005,0.00308302708608,0.000277986175369,0.935511212434,6.27552470197,0.0045437181333,0.0,0.00274776657684,-0.0115690077992,2.04892716346,-0.0358869051604,0.0276141208125,0.0,449.463965473,449.729346008,449.936461853,449.240301336
0.9600000000000005,0.00314356407908,-0.000589555580171,1.06229387233,6.27321949469,0.00621505249506,0.0,-0.000905346773683,-0.0175831396151,2.17692367808,-0.0440389956889,0.0283340826896,0.0,449.753108371,449.811602715,450.018336535,449.357296889
1.0200000000000005,0.00294893503705,-0.00186905252909,1.19671579202,6.27039536455,0.00805641720868,0.0,-0.00576864132604,-0.0253528111591,2.30355595301,-0.053943905483,0.0350260811756,0.0,449.574371805,450.116541325,450.201959665,449.398523893
1.0800000000000005,0.00242191347986,-0.00367687548641,1.33867475067,6.26705694057,0.0102807767764,0.0,-0.012025351119,-0.0352514683546,2.42814605166,-0.0592681900605,0.0408793846447,0.0,449.43925186,449.914010728,449.997449148,449.564199882
1.1400000000000006,0.0014710264845,-0.00615038741782,1.48805316905,6.26344679045,0.0128949911755,0.0,-0.0199354460061,-0.047571787318,2.55085895241,-0.0620340587,0.0484702839985,0.0,449.434003859,450.049841406,449.792916207,449.566351832
1.2000000000000006,-1.11548706171e-05,-0.00943949774229,1.64472932232,6.25972901583,0.0158905690358,0.0,-0.0297771281082,-0.0624501717079,2.67139244006,-0.0618210574419,0.0526890227688,0.0,449.361060601,449.704440231,449.709271319,449.723813285
1.2600000000000007,-0.00214797169638,-0.0136993978281,1.8085950524,6.25602531004,0.0191658022282,0.0,-0.0417830562843,-0.0799279443065,2.79049897053,-0.0615438993549,0.0581350310991,0.0,449.471637081,449.9147245,449.886400416,449.90615781
1.3200000000000007,-0.0050749014872,-0.0190849668083,1.97954459186,6.25217805673,0.0228258248541,0.0,-0.0561496462292,-0.0999760082352,2.90750819028,-0.0698466788316,0.0661882125363,0.0,449.447472776,450.102277947,450.128983379,449.453596345
